Date,Close/Last,Volume,Open,High,Low
02/24/2022,$121.97,6563202,$120,$122.1,$118.81
02/23/2022,$122.07,4086367,$124.38,$124.7,$121.87
02/22/2022,$123.92,5349687,$124.2,$125,$122.68
02/18/2022,$124.35,4609212,$124.94,$125.44,$123.61
02/17/2022,$124.97,6796997,$128.05,$128.5,$124.85
02/16/2022,$129.18,4875612,$129.45,$130.44,$128.26
02/15/2022,$129.94,4395714,$130.64,$131.68,$129.61
02/14/2022,$130.15,5345289,$132.59,$132.65,$129.07
02/11/2022,$132.69,4176155,$133.9,$134.7099,$132.38
02/10/2022,$133.52,5978640,$135.47,$136.56,$133.17
02/09/2022,$137.79,5393478,$137.84,$138.35,$136.83
02/08/2022,$137.02,4181825,$137.23,$137.52,$135.78
02/07/2022,$137.24,3759046,$137.45,$137.8223,$136.27
02/04/2022,$137.15,4142045,$137.86,$138.82,$136.215
02/03/2022,$137.78,6100777,$137,$138.76,$135.831
02/02/2022,$137.25,5357237,$135.7,$137.555,$135.26
02/01/2022,$135.53,6206448,$133.76,$135.96,$132.5
01/31/2022,$133.57,5859043,$134.09,$134.09,$132.3
01/28/2022,$134.5,5471497,$133.19,$134.53,$131.79
01/27/2022,$132.52,5499566,$133.66,$134.75,$132.08
01/26/2022,$134.26,8335992,$136.47,$137.07,$133.13
01/25/2022,$136.1,19715700,$129.14,$137.3361,$128.3
01/24/2022,$128.82,13777650,$127.99,$129.15,$124.193
01/21/2022,$129.35,5906950,$131.65,$131.87,$129.27
01/20/2022,$130.82,5278244,$131.26,$132.88,$130.5705
01/19/2022,$131.58,4103694,$132.9,$133.9,$131.5
01/18/2022,$132.94,5247453,$132.95,$133.89,$131.78
01/14/2022,$134.21,5310305,$134.55,$135.14,$133.3
01/13/2022,$134.76,4868349,$133.9,$136.05,$133.56
01/12/2022,$133.59,5352014,$133.25,$134.47,$131.37
01/11/2022,$132.87,11105320,$130.52,$133.25,$127.97
01/10/2022,$135.03,5432807,$134.47,$136.2,$133.38
01/07/2022,$134.83,5238099,$134.9,$135.6618,$133.5111
01/06/2022,$135.34,9908081,$138.2,$138.4099,$132.51
01/05/2022,$138.22,8956910,$138.31,$142.2,$137.88
01/04/2022,$138.02,7300011,$136.1,$139.95,$135.9
01/03/2022,$136.04,4610665,$134.07,$136.295,$133.63
12/31/2021,$133.66,3362060,$134,$134.99,$133.61
12/30/2021,$133.91,3158111,$133.75,$134.37,$133.33
12/29/2021,$133.35,4239935,$132.4,$134.21,$132.3
12/28/2021,$132.63,3447079,$131.6,$133.22,$131.59
12/27/2021,$131.62,4294499,$130.63,$131.65,$129.95
12/23/2021,$130.63,3649044,$130,$130.96,$129.52
12/22/2021,$129.75,3923198,$129.06,$129.79,$127.6
12/21/2021,$128.97,4855972,$127.66,$129.3356,$127.66
12/20/2021,$127.06,4941411,$125.72,$127.2,$124.7
12/17/2021,$127.4,10382690,$125.87,$128.64,$125.2093
12/16/2021,$125.93,7280537,$123.51,$126.6399,$123.475
12/15/2021,$123.11,4990028,$123.8,$124.815,$122.18
12/14/2021,$123.76,5716124,$122.35,$125.03,$122.3
12/13/2021,$122.58,6847468,$123.76,$124.3554,$120.79
12/10/2021,$124.09,4966921,$124.3,$125.33,$123.36
12/09/2021,$123.57,4601092,$122.15,$123.95,$121.79
12/08/2021,$123.02,5483948,$122,$123.38,$121.52
12/07/2021,$121.58,5193991,$120.475,$122.08,$120.07
12/06/2021,$119.91,4785560,$119.4,$121.15,$119.4
12/03/2021,$118.84,6630139,$117.36,$119.36,$117.36
12/02/2021,$116.9,5267149,$117.37,$117.98,$116.56
12/01/2021,$116.92,5959867,$118.25,$118.93,$116.85
11/30/2021,$117.1,9252701,$117.5,$119.2399,$116.45
11/29/2021,$118.5,8949795,$118.62,$119.61,$117.53
11/26/2021,$115.81,3322012,$115,$116.335,$114.56
11/24/2021,$116.73,3220802,$116.16,$117.27,$116.08
11/23/2021,$116.79,4914995,$116.79,$117.94,$116.04
11/22/2021,$116.47,6417218,$116,$118.81,$115.19
11/19/2021,$116.05,5384548,$116.49,$116.56,$115.27
11/18/2021,$116.66,5047879,$118.36,$118.36,$116.31
11/17/2021,$118.06,4043289,$118.38,$119.33,$117.78
11/16/2021,$118.46,4750760,$118.92,$119.9,$118.42
11/15/2021,$118.87,5046321,$119.54,$120.16,$118.31
11/12/2021,$118.96,5418279,$120,$120.64,$118.78
11/11/2021,$120.27,4643257,$120.9,$121.7894,$120.08
11/10/2021,$120.22,6268961,$121,$122.43,$119.932
11/09/2021,$120.85,7236608,$122.56,$122.9,$120.26
11/08/2021,$124.54,5625275,$123.985,$124.78,$123.53
11/05/2021,$123.61,6790478,$121.43,$123.77,$121.43
11/04/2021,$120.85,7208736,$123.05,$123.34,$119.9
11/03/2021,$123.05,5421406,$122.1789,$123.2049,$121.6465
11/02/2021,$122.1305,4514438,$122.2466,$123.0887,$120.9013
11/01/2021,$122.2273,5905521,$121.0368,$122.2563,$119.8632
10/29/2021,$121.0852,5916789,$121.4046,$122.266,$120.9013
10/28/2021,$121.8014,6503003,$121.1529,$122.2563,$120.6206
10/27/2021,$121.1529,6973432,$123.3501,$123.7759,$120.998
10/26/2021,$123.05,8520872,$123.4275,$124.1825,$122.687
10/25/2021,$123.5436,6374038,$123.4372,$124.5212,$122.8661
10/22/2021,$123.7759,11582200,$123.9405,$126.0699,$122.5477
10/21/2021,$124.2115,31466530,$129.2253,$129.4285,$123.9889
10/20/2021,$137.346,6189255,$137.133,$137.6364,$136.1845
10/19/2021,$137.4234,4339548,$136.5523,$138.3526,$136.0104
10/18/2021,$137.7525,6154055,$139.3786,$140.2884,$137.2095
10/15/2021,$139.969,3222778,$138.7882,$140.2013,$138.2074
10/14/2021,$138.7882,4217305,$136.5136,$139.3012,$136.4846
10/13/2021,$136.2426,2880747,$136.0103,$136.8717,$135.1779
10/12/2021,$135.9619,3148559,$137.646,$137.7332,$135.7973
10/11/2021,$137.859,2793298,$138.8946,$139.456,$137.8299
10/08/2021,$138.6236,3731279,$137.2589,$139.0398,$136.5233
10/07/2021,$137.2589,3823803,$138.1494,$138.793,$136.9879
10/06/2021,$137.7912,5328433,$137.9074,$138.7688,$136.3684
10/05/2021,$138.5559,6976648,$140.1045,$140.3465,$138.0622
10/04/2021,$139.4851,7351128,$138.159,$141.3144,$137.7816
